year,quarter,V,U,theta
2013,1,2.8666666666666667,7.733333333333333,0.3706896551724138
2013,2,2.966666666666667,7.533333333333334,0.3938053097345133
2013,3,2.8666666666666667,7.233333333333333,0.39631336405529954
2013,4,2.9333333333333336,6.933333333333334,0.4230769230769231
2014,1,3.033333333333333,6.666666666666667,0.45499999999999996
2014,2,3.3333333333333335,6.2,0.5376344086021505
2014,3,3.5,6.066666666666666,0.576923076923077
2014,4,3.4333333333333336,5.7,0.6023391812865497
2015,1,3.6666666666666665,5.533333333333334,0.6626506024096385
2015,2,3.733333333333333,5.433333333333334,0.6871165644171778
2015,3,3.8333333333333335,5.1000000000000005,0.7516339869281046
2015,4,3.8666666666666667,5.033333333333333,0.7682119205298014
2016,1,4.0,4.8999999999999995,0.816326530612245
2016,2,3.8666666666666667,4.933333333333334,0.7837837837837838
2016,3,3.9,4.8999999999999995,0.7959183673469389
2016,4,3.8666666666666667,4.766666666666667,0.8111888111888113
2017,1,3.8000000000000003,4.566666666666666,0.832116788321168
2017,2,3.9666666666666663,4.366666666666667,0.9083969465648853
2017,3,4.1,4.333333333333333,0.9461538461538461
2017,4,4.133333333333333,4.166666666666667,0.9919999999999998
2018,1,4.3,4.033333333333333,1.0661157024793388
2018,2,4.5,3.9333333333333336,1.1440677966101693
2018,3,4.633333333333333,3.766666666666667,1.230088495575221
2018,4,4.766666666666667,3.8333333333333335,1.2434782608695651
2019,1,4.633333333333333,3.8666666666666667,1.1982758620689653
2019,2,4.6,3.6333333333333333,1.2660550458715596
2019,3,4.5,3.6,1.25
2019,4,4.366666666666666,3.6,1.2129629629629628
2020,1,4.233333333333333,3.8333333333333335,1.1043478260869566
2020,2,3.9,13.0,0.3
2020,3,4.433333333333334,8.799999999999999,0.5037878787878789
2020,4,4.566666666666666,6.766666666666667,0.6748768472906403
2021,1,5.133333333333333,6.233333333333333,0.8235294117647058
2021,2,6.366666666666667,5.933333333333334,1.0730337078651686
2021,3,6.933333333333334,5.066666666666666,1.368421052631579
2021,4,7.033333333333334,4.2,1.6746031746031746
2022,1,7.2,3.8333333333333335,1.8782608695652174
2022,2,7.066666666666666,3.6333333333333333,1.9449541284403669
2022,3,6.633333333333333,3.533333333333333,1.8773584905660377
2022,4,6.466666666666666,3.5666666666666664,1.8130841121495327
