year,V,U,theta
2013,4070.5,11457.166666666666,0.35527981030795863
2014,4773.083333333333,9601.5,0.497118505789026
2015,5563.833333333333,8293.75,0.6708465209746295
2016,5855.5,7751.333333333333,0.7554184226369657
2017,6118.5,6984.666666666667,0.8759902643886608
2018,7109.166666666667,6315.25,1.1257142103110196
2019,7153.833333333333,5999.166666666667,1.1924711765522988
2020,6349.333333333333,12949.666666666666,0.49030863085278903
2021,9978.833333333334,8630.333333333334,1.1562512069831214
2022,11183.833333333334,5992.916666666667,1.8661753458944588
2023,9272.833333333334,6077.0,1.5258899676375406
2024,7779.0,6761.0,1.1505694423901789
2025,7497.666666666667,7067.0,1.060940521673506
